keyword,priority,category,subcategory
buss,80,Transportation,Public Transport
BUS,85,Transportation,Public Transport
train,95,Transportation,Public Transport
trains,90,Transportation,Public Transport
TRAIN,95,Transportation,Public Transport
tram,85,Transportation,Public Transport
trams,80,Transportation,Public Transport
TRAM,85,Transportation,Public Transport
metro,95,Transportation,Public Transport
metros,90,Transportation,Public Transport
METRO,95,Transportation,Public Transport
bilet,95,Transportation,Public Transport
bilets,90,Transportation,Public Transport
BILET,95,Transportation,Public Transport
ticket,95,Transportation,Public Transport
tickets,90,Transportation,Public Transport
TICKET,95,Transportation,Public Transport
abonament,95,Transportation,Public Transport
abonaments,90,Transportation,Public Transport
ABONAMENT,95,Transportation,Public Transport
transport,95,Transportation,Public Transport
transports,90,Transportation,Public Transport
TRANSPORT,95,Transportation,Public Transport
autobuz,95,Transportation,Public Transport
autobuzs,90,Transportation,Public Transport
AUTOBUZ,95,Transportation,Public Transport
tren,85,Transportation,Public Transport
trens,80,Transportation,Public Transport
TREN,85,Transportation,Public Transport
metrou,95,Transportation,Public Transport
metrous,90,Transportation,Public Transport
METROU,95,Transportation,Public Transport
ratb,85,Transportation,Public Transport
ratbs,80,Transportation,Public Transport
RATB,85,Transportation,Public Transport
taxi,85,Transportation,Taxi
taxis,80,Transportation,Taxi
TAXI,85,Transportation,Taxi
uber,85,Transportation,Taxi
ubers,80,Transportation,Taxi
UBER,85,Transportation,Taxi
bolt,85,Transportation,Taxi
bolts,80,Transportation,Taxi
BOLT,85,Transportation,Taxi
ride,85,Transportation,Taxi
rides,80,Transportation,Taxi
RIDE,85,Transportation,Taxi
cab,85,Transportation,Taxi
cabs,80,Transportation,Taxi
CAB,85,Transportation,Taxi
service,95,Transportation,Maintenance
services,90,Transportation,Maintenance
SERVICE,95,Transportation,Maintenance
oil,85,Transportation,Maintenance
oils,80,Transportation,Maintenance
OIL,85,Transportation,Maintenance
ulei,85,Transportation,Maintenance
uleis,80,Transportation,Maintenance
ULEI,85,Transportation,Maintenance
anvelope,95,Transportation,Maintenance
anvelopes,90,Transportation,Maintenance
ANVELOPE,95,Transportation,Maintenance
tires,95,Transportation,Maintenance
tiress,90,Transportation,Maintenance
TIRES,95,Transportation,Maintenance
brake,95,Transportation,Maintenance
brakes,90,Transportation,Maintenance
BRAKE,95,Transportation,Maintenance
placute,95,Transportation,Maintenance
placutes,90,Transportation,Maintenance
PLACUTE,95,Transportation,Maintenance
repair,95,Transportation,Maintenance
repairs,90,Transportation,Maintenance
REPAIR,95,Transportation,Maintenance
reparatie,95,Transportation,Maintenance
reparaties,90,Transportation,Maintenance
REPARATIE,95,Transportation,Maintenance
inspection,95,Transportation,Maintenance
inspections,90,Transportation,Maintenance
INSPECTION,95,Transportation,Maintenance
itp,85,Transportation,Maintenance
itps,80,Transportation,Maintenance
ITP,85,Transportation,Maintenance
rent,85,Housing,Rent
rents,80,Housing,Rent
RENT,85,Housing,Rent
chirie,95,Housing,Rent
chiries,90,Housing,Rent
CHIRIE,95,Housing,Rent
lease,95,Housing,Rent
leases,90,Housing,Rent
LEASE,95,Housing,Rent
electricity,95,Housing,Utilities
electricitys,90,Housing,Utilities
ELECTRICITY,95,Housing,Utilities
electric,95,Housing,Utilities
electrics,90,Housing,Utilities
ELECTRIC,95,Housing,Utilities
curent,95,Housing,Utilities
curents,90,Housing,Utilities
CURENT,95,Housing,Utilities
gaz,85,Housing,Utilities
gazs,80,Housing,Utilities
GAZ,85,Housing,Utilities
gas,85,Housing,Utilities
gass,80,Housing,Utilities
GAS,85,Housing,Utilities
water,95,Housing,Utilities
waters,90,Housing,Utilities
WATER,95,Housing,Utilities
internet,95,Housing,Utilities
internets,90,Housing,Utilities
INTERNET,95,Housing,Utilities
wifi,85,Housing,Utilities
wifis,80,Housing,Utilities
WIFI,85,Housing,Utilities
utility,95,Housing,Utilities
utilitys,90,Housing,Utilities
UTILITY,95,Housing,Utilities
utilities,95,Housing,Utilities
utilitiess,90,Housing,Utilities
UTILITIES,95,Housing,Utilities
salubritate,95,Housing,Utilities
salubritates,90,Housing,Utilities
SALUBRITATE,95,Housing,Utilities
mortgage,95,Housing,Mortgage
mortgages,90,Housing,Mortgage
MORTGAGE,95,Housing,Mortgage
ipoteca,95,Housing,Mortgage
ipotecas,90,Housing,Mortgage
IPOTECA,95,Housing,Mortgage
credit casa,95,Housing,Mortgage
paint,95,Housing,Maintenance
paints,90,Housing,Maintenance
PAINT,95,Housing,Maintenance
vopsea,95,Housing,Maintenance
vopseas,90,Housing,Maintenance
VOPSEA,95,Housing,Maintenance
cement,95,Housing,Maintenance
cements,90,Housing,Maintenance
CEMENT,95,Housing,Maintenance
repair,95,Housing,Maintenance
repairs,90,Housing,Maintenance
REPAIR,95,Housing,Maintenance
renovare,95,Housing,Maintenance
renovares,90,Housing,Maintenance
RENOVARE,95,Housing,Maintenance
tools,95,Housing,Maintenance
toolss,90,Housing,Maintenance
TOOLS,95,Housing,Maintenance
surub,95,Housing,Maintenance
surubs,90,Housing,Maintenance
SURUB,95,Housing,Maintenance
hammer,95,Housing,Maintenance
hammers,90,Housing,Maintenance
HAMMER,95,Housing,Maintenance
ciocan,95,Housing,Maintenance
ciocans,90,Housing,Maintenance
CIOCAN,95,Housing,Maintenance
cinema,95,Entertainment,Movies
cinemas,90,Entertainment,Movies
CINEMA,95,Entertainment,Movies
movie,95,Entertainment,Movies
movies,90,Entertainment,Movies
MOVIE,95,Entertainment,Movies
film,85,Entertainment,Movies
films,80,Entertainment,Movies
FILM,85,Entertainment,Movies
imax,85,Entertainment,Movies
imaxs,80,Entertainment,Movies
IMAX,85,Entertainment,Movies
ticket cinema,95,Entertainment,Movies
concert,95,Entertainment,Concerts
concerts,90,Entertainment,Concerts
CONCERT,95,Entertainment,Concerts
festival,95,Entertainment,Concerts
festivals,90,Entertainment,Concerts
FESTIVAL,95,Entertainment,Concerts
untold,95,Entertainment,Concerts
untolds,90,Entertainment,Concerts
UNTOLD,95,Entertainment,Concerts
electric castle,95,Entertainment,Concerts
show,85,Entertainment,Concerts
shows,80,Entertainment,Concerts
SHOW,85,Entertainment,Concerts
lego,85,Entertainment,Hobbies
legos,80,Entertainment,Hobbies
LEGO,85,Entertainment,Hobbies
paint,95,Entertainment,Hobbies
paints,90,Entertainment,Hobbies
PAINT,95,Entertainment,Hobbies
gaming,95,Entertainment,Hobbies
gamings,90,Entertainment,Hobbies
GAMING,95,Entertainment,Hobbies
game,85,Entertainment,Hobbies
games,80,Entertainment,Hobbies
GAME,85,Entertainment,Hobbies
boardgame,95,Entertainment,Hobbies
boardgames,90,Entertainment,Hobbies
BOARDGAME,95,Entertainment,Hobbies
yarn,85,Entertainment,Hobbies
yarns,80,Entertainment,Hobbies
YARN,85,Entertainment,Hobbies
camera,95,Entertainment,Hobbies
cameras,90,Entertainment,Hobbies
CAMERA,95,Entertainment,Hobbies
netflix,95,Entertainment,Subscriptions
netflixs,90,Entertainment,Subscriptions
NETFLIX,95,Entertainment,Subscriptions
spotify,95,Entertainment,Subscriptions
spotifys,90,Entertainment,Subscriptions
SPOTIFY,95,Entertainment,Subscriptions
youtube premium,95,Entertainment,Subscriptions
disney,95,Entertainment,Subscriptions
disneys,90,Entertainment,Subscriptions
DISNEY,95,Entertainment,Subscriptions
hbo,85,Entertainment,Subscriptions
hbos,80,Entertainment,Subscriptions
HBO,85,Entertainment,Subscriptions
max,85,Entertainment,Subscriptions
maxs,80,Entertainment,Subscriptions
MAX,85,Entertainment,Subscriptions
apple tv,95,Entertainment,Subscriptions
subscription,95,Entertainment,Subscriptions
subscriptions,90,Entertainment,Subscriptions
SUBSCRIPTION,95,Entertainment,Subscriptions
abonament,95,Entertainment,Subscriptions
abonaments,90,Entertainment,Subscriptions
ABONAMENT,95,Entertainment,Subscriptions
pharmacy,95,Healthcare,Medicines
pharmacys,90,Healthcare,Medicines
PHARMACY,95,Healthcare,Medicines
farmacie,95,Healthcare,Medicines
farmacies,90,Healthcare,Medicines
FARMACIE,95,Healthcare,Medicines
paracetamol,95,Healthcare,Medicines
paracetamols,90,Healthcare,Medicines
PARACETAMOL,95,Healthcare,Medicines
ibuprofen,95,Healthcare,Medicines
ibuprofens,90,Healthcare,Medicines
IBUPROFEN,95,Healthcare,Medicines
vitamin,95,Healthcare,Medicines
vitamins,90,Healthcare,Medicines
VITAMIN,95,Healthcare,Medicines
medicament,95,Healthcare,Medicines
medicaments,90,Healthcare,Medicines
MEDICAMENT,95,Healthcare,Medicines
doctor,95,Healthcare,Doctor
doctors,90,Healthcare,Doctor
DOCTOR,95,Healthcare,Doctor
clinic,95,Healthcare,Doctor
clinics,90,Healthcare,Doctor
CLINIC,95,Healthcare,Doctor
consult,95,Healthcare,Doctor
consults,90,Healthcare,Doctor
CONSULT,95,Healthcare,Doctor
consultatie,95,Healthcare,Doctor
consultaties,90,Healthcare,Doctor
CONSULTATIE,95,Healthcare,Doctor
hospital,95,Healthcare,Doctor
hospitals,90,Healthcare,Doctor
HOSPITAL,95,Healthcare,Doctor
spital,95,Healthcare,Doctor
spitals,90,Healthcare,Doctor
SPITAL,95,Healthcare,Doctor
insurance,95,Healthcare,Insurance
insurances,90,Healthcare,Insurance
INSURANCE,95,Healthcare,Insurance
asigurare sanatate,95,Healthcare,Insurance
dentist,95,Healthcare,Dental
dentists,90,Healthcare,Dental
DENTIST,95,Healthcare,Dental
dental,95,Healthcare,Dental
dentals,90,Healthcare,Dental
DENTAL,95,Healthcare,Dental
stomatolog,95,Healthcare,Dental
stomatologs,90,Healthcare,Dental
STOMATOLOG,95,Healthcare,Dental
tooth,95,Healthcare,Dental
tooths,90,Healthcare,Dental
TOOTH,95,Healthcare,Dental
implant,95,Healthcare,Dental
implants,90,Healthcare,Dental
IMPLANT,95,Healthcare,Dental
tuition,95,Education,Tuition
tuitions,90,Education,Tuition
TUITION,95,Education,Tuition
taxa,85,Education,Tuition
taxas,80,Education,Tuition
TAXA,85,Education,Tuition
universitate,95,Education,Tuition
universitates,90,Education,Tuition
UNIVERSITATE,95,Education,Tuition
college,95,Education,Tuition
colleges,90,Education,Tuition
COLLEGE,95,Education,Tuition
book,85,Education,Books
books,80,Education,Books
BOOK,85,Education,Books
books,95,Education,Books
bookss,90,Education,Books
BOOKS,95,Education,Books
carte,95,Education,Books
cartes,90,Education,Books
CARTE,95,Education,Books
carti,95,Education,Books
cartis,90,Education,Books
CARTI,95,Education,Books
manual,95,Education,Books
manuals,90,Education,Books
MANUAL,95,Education,Books
course,95,Education,Courses
courses,90,Education,Courses
COURSE,95,Education,Courses
courses,95,Education,Courses
coursess,90,Education,Courses
COURSES,95,Education,Courses
curs,85,Education,Courses
curss,80,Education,Courses
CURS,85,Education,Courses
udemy,95,Education,Courses
udemys,90,Education,Courses
UDEMY,95,Education,Courses
coursera,95,Education,Courses
courseras,90,Education,Courses
COURSERA,95,Education,Courses
pen,85,Education,Supplies
pens,80,Education,Supplies
PEN,85,Education,Supplies
pix,85,Education,Supplies
pixs,80,Education,Supplies
PIX,85,Education,Supplies
caiet,95,Education,Supplies
caiets,90,Education,Supplies
CAIET,95,Education,Supplies
notebook,95,Education,Supplies
notebooks,90,Education,Supplies
NOTEBOOK,95,Education,Supplies
paper,95,Education,Supplies
papers,90,Education,Supplies
PAPER,95,Education,Supplies
hartie,95,Education,Supplies
harties,90,Education,Supplies
HARTIE,95,Education,Supplies
marker,95,Education,Supplies
markers,90,Education,Supplies
MARKER,95,Education,Supplies
tricou,95,Shopping,Clothing
tricous,90,Shopping,Clothing
TRICOU,95,Shopping,Clothing
tricouri,95,Shopping,Clothing
tricouris,90,Shopping,Clothing
TRICOURI,95,Shopping,Clothing
shirt,95,Shopping,Clothing
shirts,90,Shopping,Clothing
SHIRT,95,Shopping,Clothing
shirts,95,Shopping,Clothing
shirtss,90,Shopping,Clothing
SHIRTS,95,Shopping,Clothing
t-shirt,95,Shopping,Clothing
t-shirts,90,Shopping,Clothing
T-SHIRT,95,Shopping,Clothing
jeans,95,Shopping,Clothing
jeanss,90,Shopping,Clothing
JEANS,95,Shopping,Clothing
pantaloni,95,Shopping,Clothing
pantalonis,90,Shopping,Clothing
PANTALONI,95,Shopping,Clothing
pantalon,95,Shopping,Clothing
pantalons,90,Shopping,Clothing
PANTALON,95,Shopping,Clothing
bluza,95,Shopping,Clothing
bluzas,90,Shopping,Clothing
BLUZA,95,Shopping,Clothing
rochie,95,Shopping,Clothing
rochies,90,Shopping,Clothing
ROCHIE,95,Shopping,Clothing
costum,95,Shopping,Clothing
costums,90,Shopping,Clothing
COSTUM,95,Shopping,Clothing
fular,95,Shopping,Clothing
fulars,90,Shopping,Clothing
FULAR,95,Shopping,Clothing
geaca,95,Shopping,Clothing
geacas,90,Shopping,Clothing
GEACA,95,Shopping,Clothing
sosete,95,Shopping,Clothing
sosetes,90,Shopping,Clothing
SOSETE,95,Shopping,Clothing
shoes,95,Shopping,Clothing
shoess,90,Shopping,Clothing
SHOES,95,Shopping,Clothing
pantofi,95,Shopping,Clothing
pantofis,90,Shopping,Clothing
PANTOFI,95,Shopping,Clothing
sandale,95,Shopping,Clothing
sandales,90,Shopping,Clothing
SANDALE,95,Shopping,Clothing
jacket,95,Shopping,Clothing
jackets,90,Shopping,Clothing
JACKET,95,Shopping,Clothing
haine,95,Shopping,Clothing
haines,90,Shopping,Clothing
HAINE,95,Shopping,Clothing
fashion,95,Shopping,Clothing
fashions,90,Shopping,Clothing
FASHION,95,Shopping,Clothing
vestitie,95,Shopping,Clothing
vestities,90,Shopping,Clothing
VESTITIE,95,Shopping,Clothing
rufe,85,Shopping,Clothing
rufes,80,Shopping,Clothing
RUFE,85,Shopping,Clothing
geanta,95,Shopping,Clothing
geantas,90,Shopping,Clothing
GEANTA,95,Shopping,Clothing
hoodie,95,Shopping,Clothing
hoodies,90,Shopping,Clothing
HOODIE,95,Shopping,Clothing
hanorac,95,Shopping,Clothing
hanoracs,90,Shopping,Clothing
HANORAC,95,Shopping,Clothing
cap,85,Shopping,Clothing
caps,80,Shopping,Clothing
CAP,85,Shopping,Clothing
sapca,95,Shopping,Clothing
sapcas,90,Shopping,Clothing
SAPCA,95,Shopping,Clothing
belt,85,Shopping,Clothing
belts,80,Shopping,Clothing
BELT,85,Shopping,Clothing
curea,95,Shopping,Clothing
cureas,90,Shopping,Clothing
CUREA,95,Shopping,Clothing
gloves,95,Shopping,Clothing
glovess,90,Shopping,Clothing
GLOVES,95,Shopping,Clothing
manusi,95,Shopping,Clothing
manusis,90,Shopping,Clothing
MANUSI,95,Shopping,Clothing
coat,85,Shopping,Clothing
coats,80,Shopping,Clothing
COAT,85,Shopping,Clothing
palton,95,Shopping,Clothing
paltons,90,Shopping,Clothing
PALTON,95,Shopping,Clothing
dress,95,Shopping,Clothing
dresss,90,Shopping,Clothing
DRESS,95,Shopping,Clothing
skirt,95,Shopping,Clothing
skirts,90,Shopping,Clothing
SKIRT,95,Shopping,Clothing
fusta,95,Shopping,Clothing
fustas,90,Shopping,Clothing
FUSTA,95,Shopping,Clothing
blouse,95,Shopping,Clothing
blouses,90,Shopping,Clothing
BLOUSE,95,Shopping,Clothing
sneakers,95,Shopping,Clothing
sneakerss,90,Shopping,Clothing
SNEAKERS,95,Shopping,Clothing
adidasi,95,Shopping,Clothing
adidasis,90,Shopping,Clothing
ADIDASI,95,Shopping,Clothing
nike,85,Shopping,Clothing
nikes,80,Shopping,Clothing
NIKE,85,Shopping,Clothing
adidas,95,Shopping,Clothing
adidass,90,Shopping,Clothing
ADIDAS,95,Shopping,Clothing
zara,85,Shopping,Clothing
zaras,80,Shopping,Clothing
ZARA,85,Shopping,Clothing
h&m,85,Shopping,Clothing
h&ms,80,Shopping,Clothing
H&M,85,Shopping,Clothing
phone,95,Shopping,Electronics
phones,90,Shopping,Electronics
PHONE,95,Shopping,Electronics
telefon,95,Shopping,Electronics
telefons,90,Shopping,Electronics
TELEFON,95,Shopping,Electronics
iphone,95,Shopping,Electronics
iphones,90,Shopping,Electronics
IPHONE,95,Shopping,Electronics
samsung,95,Shopping,Electronics
samsungs,90,Shopping,Electronics
SAMSUNG,95,Shopping,Electronics
laptop,95,Shopping,Electronics
laptops,90,Shopping,Electronics
LAPTOP,95,Shopping,Electronics
mouse,95,Shopping,Electronics
mouses,90,Shopping,Electronics
MOUSE,95,Shopping,Electronics
keyboard,95,Shopping,Electronics
keyboards,90,Shopping,Electronics
KEYBOARD,95,Shopping,Electronics
monitor,95,Shopping,Electronics
monitors,90,Shopping,Electronics
MONITOR,95,Shopping,Electronics
tv,85,Shopping,Electronics
tvs,80,Shopping,Electronics
TV,85,Shopping,Electronics
televizor,95,Shopping,Electronics
televizors,90,Shopping,Electronics
TELEVIZOR,95,Shopping,Electronics
cable,95,Shopping,Electronics
cables,90,Shopping,Electronics
CABLE,95,Shopping,Electronics
charger,95,Shopping,Electronics
chargers,90,Shopping,Electronics
CHARGER,95,Shopping,Electronics
casti,95,Shopping,Electronics
castis,90,Shopping,Electronics
CASTI,95,Shopping,Electronics
headphones,95,Shopping,Electronics
headphoness,90,Shopping,Electronics
HEADPHONES,95,Shopping,Electronics
chair,95,Shopping,Home
chairs,90,Shopping,Home
CHAIR,95,Shopping,Home
scaun,95,Shopping,Home
scauns,90,Shopping,Home
SCAUN,95,Shopping,Home
masa,85,Shopping,Home
masas,80,Shopping,Home
MASA,85,Shopping,Home
table,95,Shopping,Home
tables,90,Shopping,Home
TABLE,95,Shopping,Home
sofa,85,Shopping,Home
sofas,80,Shopping,Home
SOFA,85,Shopping,Home
canapea,95,Shopping,Home
canapeas,90,Shopping,Home
CANAPEA,95,Shopping,Home
lamp,85,Shopping,Home
lamps,80,Shopping,Home
LAMP,85,Shopping,Home
lampa,95,Shopping,Home
lampas,90,Shopping,Home
LAMPA,95,Shopping,Home
bed,85,Shopping,Home
beds,80,Shopping,Home
BED,85,Shopping,Home
pat,85,Shopping,Home
pats,80,Shopping,Home
PAT,85,Shopping,Home
perna,95,Shopping,Home
pernas,90,Shopping,Home
PERNA,95,Shopping,Home
pillow,95,Shopping,Home
pillows,90,Shopping,Home
PILLOW,95,Shopping,Home
blanket,95,Shopping,Home
blankets,90,Shopping,Home
BLANKET,95,Shopping,Home
patura,95,Shopping,Home
paturas,90,Shopping,Home
PATURA,95,Shopping,Home
gift,85,Shopping,Gifts
gifts,80,Shopping,Gifts
GIFT,85,Shopping,Gifts
cadou,95,Shopping,Gifts
cadous,90,Shopping,Gifts
CADOU,95,Shopping,Gifts
flowers,95,Shopping,Gifts
flowerss,90,Shopping,Gifts
FLOWERS,95,Shopping,Gifts
flori,95,Shopping,Gifts
floris,90,Shopping,Gifts
FLORI,95,Shopping,Gifts
toy,85,Shopping,Gifts
toys,80,Shopping,Gifts
TOY,85,Shopping,Gifts
jucarie,95,Shopping,Gifts
jucaries,90,Shopping,Gifts
JUCARIE,95,Shopping,Gifts
giftcard,95,Shopping,Gifts
giftcards,90,Shopping,Gifts
GIFTCARD,95,Shopping,Gifts
other,95,Other,Other
others,90,Other,Other
OTHER,95,Other,Other
misc,85,Other,Other
miscs,80,Other,Other
MISC,85,Other,Other
diverse,95,Other,Other
diverses,90,Other,Other
DIVERSE,95,Other,Other
altele,95,Other,Other
alteles,90,Other,Other
ALTELE,95,Other,Other
unknown,95,Other,Other
unknowns,90,Other,Other
UNKNOWN,95,Other,Other
cereal,90,Food,Groceries
oats,80,Food,Groceries
ovaz,80,Food,Groceries
biscuit,90,Food,Groceries
biscuiti,90,Food,Groceries
cookies,90,Food,Groceries
cracker,90,Food,Groceries
jam,80,Food,Groceries
gem,80,Food,Groceries
honey,80,Food,Groceries
miere,80,Food,Groceries
ketchup,90,Food,Groceries
mustard,90,Food,Groceries
maioneza,90,Food,Groceries
yogurt,90,Food,Groceries
smantana,90,Food,Groceries
cream,80,Food,Groceries
salami,90,Food,Groceries
salam,80,Food,Groceries
ham,80,Food,Groceries
sunca,80,Food,Groceries
cucumber,90,Food,Groceries
castraveti,90,Food,Groceries
pepper,90,Food,Groceries
ardei,80,Food,Groceries
onion,80,Food,Groceries
ceapa,80,Food,Groceries
garlic,90,Food,Groceries
usturoi,90,Food,Groceries
orange,90,Food,Groceries
portocale,90,Food,Groceries
pear,80,Food,Groceries
para,80,Food,Groceries
grapes,90,Food,Groceries
struguri,90,Food,Groceries
mcdonalds,90,Food,Restaurants
kfc,80,Food,Restaurants
burger king,90,Food,Restaurants
subway,90,Food,Restaurants
starbucks,90,Food,Restaurants
cafenea,90,Food,Restaurants
pizzerie,90,Food,Restaurants
restaurantul,90,Food,Restaurants
wolt,80,Food,Takeaway
deliveroo,90,Food,Takeaway
take out,90,Food,Takeaway
ready meal,90,Food,Takeaway
comanda online,90,Food,Takeaway
eurodiesel,90,Transportation,Fuel
premium diesel,90,Transportation,Fuel
premium95,90,Transportation,Fuel
premium100,90,Transportation,Fuel
adblue,90,Transportation,Fuel
platform ticket,90,Transportation,Public Transport
